Profiling with 10 inputs    (top 30)
--------------------------------------

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        2    0.001    0.000    0.001    0.000 {built-in method builtins.print}
        2    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
       52    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:830(get_data)
        1    0.000    0.000    0.001    0.001 standard_dev_lib.py:10(stDev)
      116    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
       55    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1117(_get_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.000    0.000 calc_lib.py:202(Root)
        3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:870(_find_spec)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      3/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:966(_find_and_load)
       21    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      3/2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:651(_load_unlocked)
       11    0.000    0.000    0.000    0.000 calc_lib.py:171(Exponentiation)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      3/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        7    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       17    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}


profiling with 100 inputs (top 30)
-------------------------------------

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        2    0.001    0.000    0.001    0.000 {built-in method builtins.print}
        1    0.001    0.001    0.002    0.002 standard_dev_lib.py:10(stDev)
